topic_id,short_topic,long_topic
marine_life_deck,marine_life_deck,Establishing a Marine Life Observation Deck in Centralia
name_harbor_area,name_harbor_area,Putting a name on pictureque harbor area in Port Grove
statue_john_smoth,statue_john_smoth,Statue to honor John Smoth in Port Grove
affordable_housing,affordable_housing,Affordable housing for fishing workers (conflict with short-term rentals)
new_crane_lomark,new_crane_lomark,Money for a new crane at Lomark
name_inspection_office,name_inspection_office,Putting a name on the inspection office in Lomark
waterfront_market,waterfront_market,Establishing a Waterfront Market in Haacklee
fish_vacuum,fish_vacuum,Fish Vacuum
expanding_tourist_wharf,expanding_tourist_wharf,Expanding the tourist wharf/infrastructure in Haacklee
heritage_walking_tour,heritage_walking_tour,Developing a Heritage Walking Tour in Haacklee
concert,concert,Plan for Concert
renaming_park_himark,renaming_park_himark,Renaming a park in Himark
low_volume_crane,low_volume_crane,Low-volume unload crane in Haacklee
deep_fishing_dock,deep_fishing_dock,Deep maintenance to the commercial fishing dock at Himark
seafood_festival,seafood_festival,Hosting an Annual Seafood Festival in Paackland
