plan_id,people_id,sentiment,reason,industry
expanding_tourist_wharf_Travel_Harbor_Route_Solutions,Simone Kat,0.5,Supports tourism growth,['tourism']
expanding_tourist_wharf_Meeting_9_Report,Teddy Goldstein,-0.5,Seen as prioritizing tourism over fishing-related infrastructure.,['tourism']
expanding_tourist_wharf_Meeting_9_Report,Seal,0.1,"Seems like headache, but if other people are willing to do the work.",['tourism']
statue_john_smoth_Meeting_8_Proposal,Tante Titan,1,Loves ceremonial gestures and believes they can have a positive impact.,[]
statue_john_smoth_Travel_The_Bait_Stich,Seal,0.2,Appreciates historical recognition but sees limited practical benefit.,[]
statue_john_smoth_Meeting_9_Feedback,Tante Titan,1,Loves ceremonial gestures and believes they can have a positive impact.,[]
statue_john_smoth_Meeting_10_Presentation,Tante Titan,1,Loves ceremonial gestures and believes they can have a positive impact.,[]
deep_fishing_dock_Travel_High_Seas_Fishing_Inc,Simone Kat,,,
deep_fishing_dock_Meeting_3_Maintenance_Plan,Teddy Goldstein,,,
deep_fishing_dock_Meeting_4_Findings_Report,Teddy Goldstein,,,
deep_fishing_dock_Meeting_4_Recommendation,Teddy Goldstein,,,
new_crane_lomark_Travel_Blue_Wave_Shipping,Simone Kat,-0.5,"Primarily benefits large vessel operations, with limited relevance to tourism",['large vessel']
new_crane_lomark_Meeting_5_Cost_Impact_Report,Teddy Goldstein,1,Essential for improving efficiency in fishing operations.,['large vessel']
new_crane_lomark_Meeting_8_Share_Findings,Teddy Goldstein,1,Essential for improving efficiency in fishing operations.,['large vessel']
fish_vacuum_Meeting_1_Introduction,Seal,0,Balanced view on new technology applications.,['large vessel']
fish_vacuum_Travel_Bay_Harvest_Corporation,Simone Kat,-0.1,Would rather see money go to tourism initiatives,['large vessel']
fish_vacuum_Meeting_3_Report,Teddy Goldstein,0.5,Useful for fishing operations but may have environmental concerns.,['large vessel']
low_volume_crane_Meeting_3_Proposal,Ed Helpsford,1,"Beneficial for small time fishers, who he feels are often overlooked",['small vessel']
low_volume_crane_Travel_Harbor_Route_Solutions,Seal,0.1,Recognizes the crane's benefit to small-scale operations.,['small vessel']
low_volume_crane_Travel_Harbor_Builders,Simone Kat,0.75,"Supports small-scale operations, which align with small vessel activities and tourism. Tourism is increasingly focused on small scale pictureque fishing",['small vessel']
low_volume_crane_Travel_Haacklee_Assembly_Co,Simone Kat,0.75,"Supports small-scale operations, which align with small vessel activities and tourism. Tourism is increasingly focused on small scale pictureque fishing",['small vessel']
low_volume_crane_Meeting_8_Report,Seal,0.1,Recognizes the crane's benefit to small-scale operations.,['small vessel']
affordable_housing_Travel_Waveside_Townhomes,Simone Kat,-1,Conflicts with tourism-focused short-term rentals,"['large vessel', 'small vessel']"
affordable_housing_Meeting_7_Debate,Simone Kat,-1,Conflicts with tourism-focused short-term rentals,"['large vessel', 'small vessel']"
affordable_housing_Meeting_7_Debate,Ed Helpsford,1,Feels committee should be doing more for blue-collar workers. Nephew is having trouble finding housing,"['large vessel', 'small vessel']"
affordable_housing_Meeting_8_Feedback,Ed Helpsford,1,Feels committee should be doing more for blue-collar workers. Nephew is having trouble finding housing,"['large vessel', 'small vessel']"
affordable_housing_Travel_Tidewater_Flats,Teddy Goldstein,1,Strongly supports affordable housing for workers.,"['large vessel', 'small vessel']"
affordable_housing_Meeting_10_Housing_Proposal,Ed Helpsford,1,Feels committee should be doing more for blue-collar workers. Nephew is having trouble finding housing,"['large vessel', 'small vessel']"
renaming_park_himark_Meeting_4_Name_Ideas,Tante Titan,1.0,Loves ceremonial gestures and believes they can have a positive impact.,[]
renaming_park_himark_Travel_Anchor_Way_Grill,Tante Titan,1.0,Loves ceremonial gestures and believes they can have a positive impact.,[]
renaming_park_himark_Travel_Sailors_Perch_Light,Tante Titan,1.0,Loves ceremonial gestures and believes they can have a positive impact.,[]
renaming_park_himark_Travel_Himark_City_Hall,Carol Limpet,0.5,Symbolic gesture that could attract tourists and improve community pride.,[]
renaming_park_himark_Meeting_5_Nominations,Carol Limpet,0.5,Symbolic gesture that could attract tourists and improve community pride.,[]
renaming_park_himark_Meeting_8_Compile_Nominations,Tante Titan,1.0,Loves ceremonial gestures and believes they can have a positive impact.,[]
