topic_id,short_topic,long_topic
expanding_tourist_wharf,expanding_tourist_wharf,Expanding the tourist wharf/infrastructure in Haacklee
statue_john_smoth,statue_john_smoth,Statue to honor John Smoth in Port Grove
deep_fishing_dock,deep_fishing_dock,Deep maintenance to the commercial fishing dock at Himark
new_crane_lomark,new_crane_lomark,Money for a new crane at Lomark
fish_vacuum,fish_vacuum,Fish Vacuum
low_volume_crane,low_volume_crane,Low-volume unload crane in Haacklee
affordable_housing,affordable_housing,Affordable housing for fishing workers (conflict with short-term rentals)
renaming_park_himark,renaming_park_himark,Renaming a park in Himark
name_harbor_area,name_harbor_area,Putting a name on pictureque harbor area in Port Grove
name_inspection_office,name_inspection_office,Putting a name on the inspection office in Lomark
marine_life_deck,marine_life_deck,Establishing a Marine Life Observation Deck in Centralia
seafood_festival,seafood_festival,Hosting an Annual Seafood Festival in Paackland
heritage_walking_tour,heritage_walking_tour,Developing a Heritage Walking Tour in Haacklee
waterfront_market,waterfront_market,Establishing a Waterfront Market in Haacklee
concert,concert,Plan for Concert
