plan_id,place_id
expanding_tourist_wharf_Travel_Harbor_Route_Solutions,35889363
statue_john_smoth_Travel_The_Bait_Stich,2519420987
deep_fishing_dock_Travel_High_Seas_Fishing_Inc,3753651731
new_crane_lomark_Travel_Blue_Wave_Shipping,491334376
fish_vacuum_Travel_Bay_Harvest_Corporation,30192735
low_volume_crane_Travel_Harbor_Route_Solutions,35889363
low_volume_crane_Travel_Harbor_Builders,35922181
low_volume_crane_Travel_Haacklee_Assembly_Co,35872967
affordable_housing_Travel_Waveside_Townhomes,48468290
affordable_housing_Travel_Tidewater_Flats,48480127
renaming_park_himark_Travel_Anchor_Way_Grill,30188848
renaming_park_himark_Travel_Sailors_Perch_Light,5849775342
renaming_park_himark_Travel_Himark_City_Hall,9196630064
name_harbor_area_Travel_The_Bait_Stich,2519420987
name_harbor_area_Travel_Harbor_Odyssey_Tours,10803677425
name_inspection_office_Travel_Lomark_Civic_Plaza,48475647
marine_life_deck_Travel_Tropics_Environmental_Hub,581717431
seafood_festival_Travel_Dock_Roll_Hall_of_Fame,37828755
heritage_walking_tour_Travel_Captain_Market,35844638
waterfront_market_Travel_Harbor_Edge_Grill,35908634
waterfront_market_Travel_Harborfront_Market,35913119
concert_Travel_Paakland_Elementary,37831107
