plan_id,short_title,long_title,plan_type
expanding_tourist_wharf_Travel_Harbor_Route_Solutions,expanding_tourist_wharf_Travel_Harbor_Route_Solutions,Travel to Harbor Route Solutions in Haacklee,Travel
expanding_tourist_wharf_Meeting_9_Report,expanding_tourist_wharf_Meeting_9_Report,Get a formal cost impact & environment report,Report
statue_john_smoth_Meeting_8_Proposal,statue_john_smoth_Meeting_8_Proposal,Present proposal for the statue to honor John Smoth,proposal
statue_john_smoth_Travel_The_Bait_Stich,statue_john_smoth_Travel_The_Bait_Stich,Travel to The Bait & Stich,Travel
statue_john_smoth_Meeting_9_Feedback,statue_john_smoth_Meeting_9_Feedback,Gather community feedback on the proposed statue,feedback
statue_john_smoth_Meeting_10_Presentation,statue_john_smoth_Meeting_10_Presentation,Provide presentation on feedback and costs,presentation
deep_fishing_dock_Travel_High_Seas_Fishing_Inc,deep_fishing_dock_Travel_High_Seas_Fishing_Inc,Travel to High Seas Fishing Inc. in Himark,Travel
deep_fishing_dock_Meeting_3_Maintenance_Plan,deep_fishing_dock_Meeting_3_Maintenance_Plan,Discuss maintenance plan and designate travel representatives,proposal
deep_fishing_dock_Meeting_4_Findings_Report,deep_fishing_dock_Meeting_4_Findings_Report,Report on findings from dock visit,report
deep_fishing_dock_Meeting_4_Recommendation,deep_fishing_dock_Meeting_4_Recommendation,Provide recommendation based on visit feedback,take action
new_crane_lomark_Meeting_4_Cost_Analysis,new_crane_lomark_Meeting_4_Cost_Analysis,Present cost analysis for the new crane,presentation
new_crane_lomark_Travel_Blue_Wave_Shipping,new_crane_lomark_Travel_Blue_Wave_Shipping,Travel to Blue Wave Shipping in Lomark,Travel
new_crane_lomark_Meeting_5_Cost_Impact_Report,new_crane_lomark_Meeting_5_Cost_Impact_Report,Get a formal cost impact & environment report,report
new_crane_lomark_Meeting_8_Share_Findings,new_crane_lomark_Meeting_8_Share_Findings,Share findings and plan next steps,report
fish_vacuum_Meeting_1_Introduction,fish_vacuum_Meeting_1_Introduction,General Introduction to what a fish vacuum is,presentation
fish_vacuum_Travel_Bay_Harvest_Corporation,fish_vacuum_Travel_Bay_Harvest_Corporation,Travel to Bay Harvest Corporation in Himark,Travel
fish_vacuum_Meeting_2_Cost_Benefit_Analysis,fish_vacuum_Meeting_2_Cost_Benefit_Analysis,Provide cost-benefit analysis of implementing a fish vacuum,proposal
fish_vacuum_Meeting_3_Report,fish_vacuum_Meeting_3_Report,Provide report on cost-benefit analysis,report
low_volume_crane_Meeting_3_Proposal,low_volume_crane_Meeting_3_Proposal,Discuss potential benefits of low-volume unload crane,proposal
low_volume_crane_Travel_Harbor_Route_Solutions,low_volume_crane_Travel_Harbor_Route_Solutions,Travel to Harbor Route Solutions in Haacklee,Travel
low_volume_crane_Travel_Harbor_Builders,low_volume_crane_Travel_Harbor_Builders,Travel to Harbor Builders in Haacklee,Travel
low_volume_crane_Travel_Haacklee_Assembly_Co,low_volume_crane_Travel_Haacklee_Assembly_Co,Travel to Haacklee Assembly Co. in Haacklee,Travel
low_volume_crane_Meeting_8_Report,low_volume_crane_Meeting_8_Report,Report on travel and submit letter of support for low-volume unload crane,report
affordable_housing_Meeting_6_Sites_Proposal,affordable_housing_Meeting_6_Sites_Proposal,Discuss potential sites for affordable housing,proposal
affordable_housing_Travel_Waveside_Townhomes,affordable_housing_Travel_Waveside_Townhomes,Travel to Waveside Townhomes in Lomark,Travel
affordable_housing_Meeting_7_Debate,affordable_housing_Meeting_7_Debate,Debate the conflict with short-term rentals,feedback
affordable_housing_Meeting_8_Feedback,affordable_housing_Meeting_8_Feedback,Gather community feedback on housing needs,feedback
affordable_housing_Travel_Tidewater_Flats,affordable_housing_Travel_Tidewater_Flats,Travel to Tidewater Flats in Lomark,Travel
affordable_housing_Meeting_9_Invite_Developers,affordable_housing_Meeting_9_Invite_Developers,Invite housing developers,feedback
affordable_housing_Meeting_10_Housing_Proposal,affordable_housing_Meeting_10_Housing_Proposal,Report on travel findings and draft housing proposal suggestion,proposal
renaming_park_himark_Meeting_4_Name_Ideas,renaming_park_himark_Meeting_4_Name_Ideas,Gather ideas for new name for the park,proposal
renaming_park_himark_Travel_Anchor_Way_Grill,renaming_park_himark_Travel_Anchor_Way_Grill,Discuss travel plans to Anchor Way Grill,Travel
renaming_park_himark_Travel_Sailors_Perch_Light,renaming_park_himark_Travel_Sailors_Perch_Light,Discuss travel plans to Sailor's Perch Light,Travel
renaming_park_himark_Travel_Himark_City_Hall,renaming_park_himark_Travel_Himark_City_Hall,Travel to Himark City Hall,Travel
renaming_park_himark_Meeting_5_Nominations,renaming_park_himark_Meeting_5_Nominations,Solicit community nominations for the new park name,proposal
renaming_park_himark_Meeting_8_Compile_Nominations,renaming_park_himark_Meeting_8_Compile_Nominations,Compile nominations and conduct a community vote,proposal
renaming_park_himark_Meeting_7_Announce_Name,renaming_park_himark_Meeting_7_Announce_Name,Announce the new park name and organize an unveiling event,take action
