plan_id,topic_id
marine_life_deck_Meeting_12_Environmental_Impact_Report,marine_life_deck
low_volume_crane_Meeting_8_Report,low_volume_crane
deep_fishing_dock_Meeting_3_Maintenance_Plan,deep_fishing_dock
affordable_housing_Travel_Waveside_Townhomes,affordable_housing
affordable_housing_Travel_Tidewater_Flats,affordable_housing
waterfront_market_Meeting_7_Benefits_Feasibility,waterfront_market
name_inspection_office_Meeting_8_Importance,name_inspection_office
concert_Meeting_16_Road_Closures,concert
new_crane_lomark_Meeting_5_Cost_Impact_Report,new_crane_lomark
new_crane_lomark_Meeting_8_Share_Findings,new_crane_lomark
expanding_tourist_wharf_Meeting_9_Report,expanding_tourist_wharf
affordable_housing_Meeting_9_Invite_Developers,affordable_housing
new_crane_lomark_Meeting_4_Cost_Analysis,new_crane_lomark
deep_fishing_dock_Meeting_4_Recommendation,deep_fishing_dock
fish_vacuum_Meeting_2_Cost_Benefit_Analysis,fish_vacuum
fish_vacuum_Meeting_1_Introduction,fish_vacuum
affordable_housing_Meeting_10_Housing_Proposal,affordable_housing
name_harbor_area_Meeting_10_Historical_Significance,name_harbor_area
concert_Meeting_7_Concert_Issues,concert
heritage_walking_tour_Meeting_7_Outline,heritage_walking_tour
name_harbor_area_Meeting_12_Public_Opinion,name_harbor_area
affordable_housing_Meeting_7_Debate,affordable_housing
statue_john_smoth_Travel_The_Bait_Stich,statue_john_smoth
fish_vacuum_Meeting_3_Report,fish_vacuum
low_volume_crane_Travel_Harbor_Route_Solutions,low_volume_crane
affordable_housing_Meeting_6_Sites_Proposal,affordable_housing
deep_fishing_dock_Meeting_4_Findings_Report,deep_fishing_dock
low_volume_crane_Meeting_3_Proposal,low_volume_crane
name_inspection_office_Meeting_9_Community_Vote,name_inspection_office
renaming_park_himark_Meeting_4_Name_Ideas,renaming_park_himark
affordable_housing_Meeting_8_Feedback,affordable_housing
statue_john_smoth_Meeting_8_Proposal,statue_john_smoth
expanding_tourist_wharf_Travel_Harbor_Route_Solutions,expanding_tourist_wharf
deep_fishing_dock_Travel_High_Seas_Fishing_Inc,deep_fishing_dock
new_crane_lomark_Travel_Blue_Wave_Shipping,new_crane_lomark
fish_vacuum_Travel_Bay_Harvest_Corporation,fish_vacuum
low_volume_crane_Travel_Harbor_Builders,low_volume_crane
low_volume_crane_Travel_Haacklee_Assembly_Co,low_volume_crane
renaming_park_himark_Travel_Himark_City_Hall,renaming_park_himark
renaming_park_himark_Meeting_5_Nominations,renaming_park_himark
name_inspection_office_Travel_Lomark_Civic_Plaza,name_inspection_office
marine_life_deck_Meeting_10_Initial_Ideas,marine_life_deck
marine_life_deck_Travel_Tropics_Environmental_Hub,marine_life_deck
marine_life_deck_Meeting_11_Feedback,marine_life_deck
marine_life_deck_Meeting_12_Detailed_Proposal,marine_life_deck
seafood_festival_Meeting_1_Feasibility,seafood_festival
seafood_festival_Travel_Dock_Roll_Hall_of_Fame,seafood_festival
seafood_festival_Meeting_2_Feedback,seafood_festival
seafood_festival_Meeting_3_Take_Action,seafood_festival
heritage_walking_tour_Travel_Captain_Market,heritage_walking_tour
heritage_walking_tour_Meeting_8_Proposal,heritage_walking_tour
heritage_walking_tour_Meeting_9_Report,heritage_walking_tour
heritage_walking_tour_Meeting_9_Take_Action,heritage_walking_tour
waterfront_market_Travel_Harbor_Edge_Grill,waterfront_market
