plan_id,people_id,sentiment,reason,industry
marine_life_deck_Meeting_12_Environmental_Impact_Report,Teddy Goldstein,-0.5,Prefers resources to be allocated toward the fishing industry.,['tourism']
low_volume_crane_Meeting_8_Report,Seal,0.1,Recognizes the crane's benefit to small-scale operations.,['small vessel']
deep_fishing_dock_Meeting_3_Maintenance_Plan,Teddy Goldstein,,,
affordable_housing_Travel_Tidewater_Flats,Teddy Goldstein,1,Strongly supports affordable housing for workers.,"['large vessel', 'small vessel']"
waterfront_market_Meeting_7_Benefits_Feasibility,Ed Helpsford,1,Strongly supports as it could benefit small vessel,['tourism']
concert_Meeting_16_Road_Closures,Ed Helpsford,0.5,Believes concerts can bring community together but cautious about potential disruptions.,['tourism']
new_crane_lomark_Meeting_5_Cost_Impact_Report,Teddy Goldstein,1,Essential for improving efficiency in fishing operations.,['large vessel']
new_crane_lomark_Meeting_8_Share_Findings,Teddy Goldstein,1,Essential for improving efficiency in fishing operations.,['large vessel']
expanding_tourist_wharf_Meeting_9_Report,Teddy Goldstein,-0.5,Seen as prioritizing tourism over fishing-related infrastructure.,['tourism']
expanding_tourist_wharf_Meeting_9_Report,Seal,0.1,"Seems like headache, but if other people are willing to do the work.",['tourism']
deep_fishing_dock_Meeting_4_Recommendation,Teddy Goldstein,,,
waterfront_market_Meeting_9_Report,Ed Helpsford,1,Strongly supports as it could benefit small vessel,['tourism']
fish_vacuum_Meeting_1_Introduction,Seal,0,Balanced view on new technology applications.,['large vessel']
affordable_housing_Meeting_10_Housing_Proposal,Ed Helpsford,1,Feels committee should be doing more for blue-collar workers. Nephew is having trouble finding housing,"['large vessel', 'small vessel']"
concert_Meeting_7_Concert_Issues,Ed Helpsford,0.5,Believes concerts can bring community together but cautious about potential disruptions.,['tourism']
name_harbor_area_Meeting_12_Public_Opinion,Ed Helpsford,0,Supportive but also feels it is a distraction,[]
affordable_housing_Meeting_7_Debate,Ed Helpsford,1,Feels committee should be doing more for blue-collar workers. Nephew is having trouble finding housing,"['large vessel', 'small vessel']"
statue_john_smoth_Travel_The_Bait_Stich,Seal,0.2,Appreciates historical recognition but sees limited practical benefit.,[]
fish_vacuum_Meeting_3_Report,Teddy Goldstein,0.5,Useful for fishing operations but may have environmental concerns.,['large vessel']
low_volume_crane_Travel_Harbor_Route_Solutions,Seal,0.1,Recognizes the crane's benefit to small-scale operations.,['small vessel']
deep_fishing_dock_Meeting_4_Findings_Report,Teddy Goldstein,,,
low_volume_crane_Meeting_3_Proposal,Ed Helpsford,1,"Beneficial for small time fishers, who he feels are often overlooked",['small vessel']
name_inspection_office_Meeting_9_Community_Vote,Ed Helpsford,0,Supportive but also feels it is a distraction,[]
affordable_housing_Meeting_8_Feedback,Ed Helpsford,1,Feels committee should be doing more for blue-collar workers. Nephew is having trouble finding housing,"['large vessel', 'small vessel']"
expanding_tourist_wharf_Travel_Harbor_Route_Solutions,Simone Kat,0.5,Supports tourism growth,['tourism']
deep_fishing_dock_Travel_High_Seas_Fishing_Inc,Simone Kat,,,
new_crane_lomark_Travel_Blue_Wave_Shipping,Simone Kat,-0.5,"Primarily benefits large vessel operations, with limited relevance to tourism",['large vessel']
fish_vacuum_Travel_Bay_Harvest_Corporation,Simone Kat,-0.1,Would rather see money go to tourism initiatives,['large vessel']
low_volume_crane_Travel_Harbor_Builders,Simone Kat,0.75,"Supports small-scale operations, which align with small vessel activities and tourism. Tourism is increasingly focused on small scale pictureque fishing",['small vessel']
low_volume_crane_Travel_Haacklee_Assembly_Co,Simone Kat,0.75,"Supports small-scale operations, which align with small vessel activities and tourism. Tourism is increasingly focused on small scale pictureque fishing",['small vessel']
affordable_housing_Travel_Waveside_Townhomes,Simone Kat,-1,Conflicts with tourism-focused short-term rentals,"['large vessel', 'small vessel']"
affordable_housing_Meeting_7_Debate,Simone Kat,-1,Conflicts with tourism-focused short-term rentals,"['large vessel', 'small vessel']"
renaming_park_himark_Travel_Himark_City_Hall,Carol Limpet,0.5,Symbolic gesture that could attract tourists and improve community pride.,[]
renaming_park_himark_Meeting_5_Nominations,Carol Limpet,0.5,Symbolic gesture that could attract tourists and improve community pride.,[]
marine_life_deck_Meeting_10_Initial_Ideas,Simone Kat,1,"Strongly supports as it could be a major attraction, benefiting tourism.",['tourism']
marine_life_deck_Meeting_10_Initial_Ideas,Carol Limpet,0.5,Sees educational value but concerned about sustainable funding.,['tourism']
marine_life_deck_Travel_Tropics_Environmental_Hub,Carol Limpet,0.5,Sees educational value but concerned about sustainable funding.,['tourism']
marine_life_deck_Meeting_11_Feedback,Carol Limpet,0.5,Sees educational value but concerned about sustainable funding.,['tourism']
marine_life_deck_Meeting_12_Detailed_Proposal,Simone Kat,1,"Strongly supports as it could be a major attraction, benefiting tourism.",['tourism']
seafood_festival_Meeting_1_Feasibility,Simone Kat,0.75,Sees great potential in drawing tourists and celebrating local cuisine.,"['tourism', 'small vessel']"
seafood_festival_Travel_Dock_Roll_Hall_of_Fame,Carol Limpet,0.75,Supports as it offers community and economic benefits.,"['tourism', 'small vessel']"
seafood_festival_Meeting_2_Feedback,Simone Kat,0.75,Sees great potential in drawing tourists and celebrating local cuisine.,"['tourism', 'small vessel']"
seafood_festival_Meeting_3_Take_Action,Simone Kat,0.75,Sees great potential in drawing tourists and celebrating local cuisine.,"['tourism', 'small vessel']"
heritage_walking_tour_Meeting_7_Outline,Simone Kat,1,Believes it will enhance the cultural appeal and attract more visitors.,['tourism']
heritage_walking_tour_Travel_Captain_Market,Simone Kat,1,Believes it will enhance the cultural appeal and attract more visitors.,['tourism']
heritage_walking_tour_Meeting_8_Proposal,Simone Kat,1,Believes it will enhance the cultural appeal and attract more visitors.,['tourism']
heritage_walking_tour_Meeting_9_Report,Simone Kat,1,Believes it will enhance the cultural appeal and attract more visitors.,['tourism']
heritage_walking_tour_Meeting_9_Take_Action,Simone Kat,1,Believes it will enhance the cultural appeal and attract more visitors.,['tourism']
waterfront_market_Travel_Harbor_Edge_Grill,Carol Limpet,1,Strongly supports as it aligns with community and economic interests.,['tourism']
